"team","WIN_1","WIN_2","WIN_3","WIN_4","WIN_5","WIN_6","WIN_7","WIN_8","WIN_9","WIN_10","WIN_11","WIN_12","points_1","points_2","points_3","points_4","points_5","points_6","points_7","points_8","points_9","points_10","points_11","points_12","opp_points_1","opp_points_2","opp_points_3","opp_points_4","opp_points_5","opp_points_6","opp_points_7","opp_points_8","opp_points_9","opp_points_10","opp_points_11","opp_points_12","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","WIN_1.smooth","WIN_2.smooth","WIN_3.smooth","WIN_4.smooth","WIN_5.smooth","WIN_6.smooth","WIN_7.smooth","WIN_8.smooth","WIN_9.smooth","WIN_10.smooth","WIN_11.smooth","WIN_12.smooth","points_1.smooth","points_2.smooth","points_3.smooth","points_4.smooth","points_5.smooth","points_6.smooth","points_7.smooth","points_8.smooth","points_9.smooth","points_10.smooth","points_11.smooth","points_12.smooth","opp_points_1.smooth","opp_points_2.smooth","opp_points_3.smooth","opp_points_4.smooth","opp_points_5.smooth","opp_points_6.smooth","opp_points_7.smooth","opp_points_8.smooth","opp_points_9.smooth","opp_points_10.smooth","opp_points_11.smooth","opp_points_12.smooth","rank_1.smooth","rank_2.smooth","rank_3.smooth","rank_4.smooth","rank_5.smooth","rank_6.smooth","rank_7.smooth","rank_8.smooth","rank_9.smooth","rank_10.smooth","rank_11.smooth","rank_12.smooth","cluster","Is_Representative"
"FRES",1,0,0,0,0,0,1,0,0,1,0,0,34,21,24,23,7,14,31,14,16,42,10,31,13,73,45,49,21,56,28,42,30,14,52,34,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0,0,0,0.1,0.2,0.7,0.1,0.2,0.7,0,0,30.4,21.8,22.1,18.9,10.8,17.4,26.1,17.2,20.6,34.5,13.2,21.7,28.2,65,43.4,44.1,28.7,49,31,36.8,29,23.6,43.2,23.8,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"GAST",0,1,0,0,0,1,0,0,1,1,1,1,20,34,28,33,3,31,34,21,41,24,31,34,23,32,61,41,37,19,48,23,19,10,21,7,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0.1,0.2,0.7,0.1,0.3,1,1,0.9,0.7,23.6,32.7,26.5,26.8,11.7,30.6,32.1,25.3,36.6,26.4,28.5,23.8,28.6,38.7,54.6,38,34.5,25.2,40.1,20.9,17.4,11.9,16.1,4.9,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"GEO",1,1,1,1,0,0,1,0,1,1,1,1,51,31,52,48,10,31,9,3,27,20,23,13,14,14,20,6,38,38,6,27,3,13,17,7,9,10,7,7,8,19,50,50,50,50,50,50,1,1,0.9,0.7,0.1,0.2,0.8,0.3,1,1,0.9,0.7,47.1,36.9,47,38.7,14.1,23.8,9.6,9.5,25.2,19.9,18.7,9.1,14.6,14.4,19,15.6,34.8,30.5,9.9,20.8,6.4,13.2,13.3,4.9,9,9.1,7.1,8.4,14.4,28.3,50,50,50,50,45,35,4,FALSE
"GSOU",0,1,1,1,1,1,0,1,1,0,1,0,0,43,48,44,51,56,13,37,45,17,55,7,44,17,13,20,31,26,31,13,10,23,17,34,50,50,50,50,50,50,50,50,50,50,50,50,0.3,1,1,1,0.9,0.8,0.3,0.9,0.8,0.2,0.7,0,13.4,44.1,47.5,46.6,48.2,45.5,21,36.6,40.4,23.6,39.9,4.9,35.5,16.5,16.2,22.8,30,25.7,25.3,13.4,13.3,22.9,18.7,23.8,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"GTCH",1,1,0,0,0,0,0,1,0,0,0,0,69,65,22,20,31,24,28,22,21,21,21,7,6,10,30,34,38,43,31,16,27,23,38,13,16,15,14,20,50,50,50,50,50,50,50,50,0.9,0.7,0,0,0,0.1,0.2,0.7,0,0,0,0,63.5,51.9,22.5,22.6,29.3,24.6,26.1,21.7,21,19.6,16.1,4.9,9.2,16.4,31.6,35.7,38.3,37.9,27.6,18.9,27.3,25,29.2,9.1,15.6,15.3,18.8,29,50,50,50,50,50,50,45,35,4,FALSE
"HAW",1,0,1,0,0,0,0,0,0,0,0,0,28,0,47,0,0,14,27,20,7,21,14,23,20,38,27,28,55,28,28,30,58,41,42,42,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0,0,0,0,0,0,0,0,0,24.3,9.4,32.9,1.4,5.5,17.2,23.6,17.5,10.5,19.8,14.4,16.1,24.3,34.8,30,33.4,46.9,28.2,31.4,36.7,53,41.3,37.8,29.4,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"HOU",1,1,1,1,1,1,1,1,1,1,0,1,52,34,59,38,49,42,59,34,33,35,17,52,24,31,14,24,28,7,10,0,30,34,20,31,50,50,50,50,50,24,21,18,18,16,13,21,1,1,1,1,1,1,1,1,0.9,0.8,0.2,0.7,49.1,39.4,53.8,40.6,48.6,44.6,51.4,33.9,31.8,33.1,22.3,36.4,24.4,26.9,17.4,23.1,22,6.9,10,9.4,29.8,30.9,20.2,21.7,50,50,50,47.4,41.9,22.8,20.1,17.8,17.1,15.9,13.3,14.7,3,FALSE
"IDA",0,0,1,0,0,1,1,0,0,0,0,1,28,9,41,20,35,19,27,48,45,20,34,38,45,59,38,44,49,16,13,55,52,47,56,31,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.2,0.7,0.1,0.3,0.9,0.7,0,0,0.1,0.2,0.7,25.5,16.5,36.2,22.9,31,23.5,33,44.6,38.9,24.6,31.4,26.6,47.1,53.3,40.3,42.2,38.8,19.3,25.3,53.6,51.4,47.2,45.4,21.7,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"ILL",1,1,0,1,1,0,0,0,1,0,0,0,52,44,14,27,14,20,13,0,48,3,23,14,3,0,48,25,13,29,24,39,14,28,32,24,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.8,0.3,0.9,0.7,0,0.1,0.2,0.7,0,0,0,46.6,36.3,16.6,23.7,15.1,16.6,13.9,9.9,36.5,8.1,18.9,9.8,6.9,12.1,39.9,23,17.3,29,26,32.9,18.6,28.4,27.2,16.8,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"IND",1,1,1,1,0,0,0,0,0,0,1,1,48,36,38,31,27,7,52,26,27,41,47,54,47,22,35,24,34,29,55,52,35,48,28,36,50,50,50,50,50,50,50,50,50,50,50,50,1,1,0.9,0.7,0,0,0,0,0.1,0.3,0.9,0.7,44.6,35.9,35.5,27.8,25.5,17.9,44.3,27.7,31.8,43.5,43.7,37.8,40.8,24.8,32.7,26.5,35.1,36.5,52.4,48.2,36.9,42.8,26.8,25.2,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"IOWA",1,1,1,1,1,1,1,1,1,1,1,1,31,31,27,62,10,29,40,31,35,40,40,28,14,17,24,16,6,20,10,15,27,35,20,20,50,50,50,50,50,22,17,10,10,8,6,3,1,1,1,1,1,1,1,1,1,1,0.9,0.7,30.6,33.3,32.3,48.3,16.8,31.4,37.7,32.7,36.5,38.8,33.6,19.6,15.6,18.3,20.6,14.4,9.2,17.5,12.7,19.4,27.9,30.5,18,14,50,50,50,47.2,41.1,19.8,14.9,9.8,9.2,7.1,4.8,2.1,3,TRUE
"IWST",1,0,0,1,0,0,0,1,0,0,0,0,31,17,23,38,31,21,27,24,16,31,35,6,7,31,30,13,66,45,45,0,52,35,38,30,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.7,0,0.1,0.2,0.7,0,0,0,0,27.4,20.3,26.8,34.9,28.6,22.5,25.3,23.1,20.9,29.3,25.7,4.2,14.1,29,30.2,26.8,59.7,40.5,36.7,13.9,47.2,35.1,32.6,21,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"KAN",0,0,0,0,0,0,0,0,0,0,0,0,38,23,14,13,7,20,10,7,20,17,0,14,41,55,27,38,66,30,58,62,59,23,49,45,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,32.6,20.2,13.1,12.5,9.9,16.7,10.4,10.6,17.4,13.3,2.8,9.8,42.4,47.7,33.1,42.8,58,38.8,58.9,57.5,50.8,30.4,43.3,31.5,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"KAST",1,1,1,0,0,0,0,0,0,1,1,1,34,30,39,34,45,0,9,24,44,38,45,24,0,3,33,36,52,55,23,31,59,35,14,23,50,50,50,50,50,50,50,50,50,50,50,50,1,0.9,0.7,0,0,0,0,0.1,0.3,1,0.9,0.7,33.7,32.2,38.6,32.8,32.4,4.2,15.5,29.4,42.9,38,36.3,16.8,3.9,12.3,35.5,41.1,49.7,46.2,28.2,37,49.7,29.6,14.4,16.1,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"KEST",0,1,0,0,1,0,1,0,0,0,0,0,3,45,7,29,20,7,15,0,17,0,14,0,52,13,10,36,14,38,10,48,18,27,27,20,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0.1,0.2,0.8,0.2,0.7,0,0,0,0,0,11.8,35.8,12.7,25,16.9,7.9,12.2,3.4,13.3,2.8,9.8,0,40,14.7,15.6,31.8,18.4,33.4,18.4,39.9,20.7,26.3,22.9,14,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"KTKY",1,1,0,1,1,0,0,0,0,0,1,0,40,26,9,21,34,27,16,21,3,17,58,24,33,22,14,13,27,30,42,52,27,21,10,38,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.8,0.3,0.9,0.7,0,0,0,0.1,0.2,0.7,0,34.1,22.1,13.9,24.2,30.8,24.2,15.7,17,11.3,25.9,45.4,16.8,28.9,19.5,15.1,17.5,29.1,34.6,42.5,43.9,24.1,20.5,14.6,26.6,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"LLAF",0,1,0,0,1,0,1,1,0,0,0,0,33,44,14,14,49,27,30,23,25,34,7,17,40,17,35,43,27,37,24,21,32,37,28,41,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0.1,0.2,0.8,0.3,0.9,0.7,0,0,0,0,33.3,35,17.5,22.3,42.7,27.2,28.1,24.5,25,26.9,8.3,11.9,34.9,23.2,35.8,39.2,28.7,32.8,24.2,24.8,32.6,35.6,27.8,28.7,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"LMON",0,1,0,0,0,0,0,0,0,0,0,0,14,47,0,31,24,14,13,24,14,21,3,26,51,0,34,51,34,59,27,30,51,59,16,28,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0,0,0,0,0,0,0,0,19.2,36,8.6,27.9,20.9,14.8,15.3,21.7,14.3,17.9,7.3,18.2,39.1,11.9,37.4,48.4,38.3,49.7,30,37.1,49.1,47.3,16.8,19.6,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"LOU",0,0,0,1,1,0,1,1,1,1,0,1,24,31,17,45,20,21,17,20,41,38,34,38,31,34,20,3,13,41,14,19,17,31,45,24,50,50,50,50,50,50,50,50,50,50,50,50,0,0.1,0.3,0.9,0.8,0.3,1,1,0.9,0.8,0.2,0.7,24.7,29.6,22.9,37.6,19.9,20.1,20,26,39.7,37.2,31.4,26.6,30.5,28.1,15.9,8.8,18.7,33.4,15.3,19.8,22.6,33.1,36.3,16.8,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"LSU",1,1,1,1,1,1,1,0,0,0,1,1,21,45,34,44,45,35,48,16,14,17,19,56,19,21,24,22,24,28,20,30,31,38,7,27,14,13,8,9,7,6,5,4,9,17,50,22,1,1,1,1,1,0.9,0.7,0,0.1,0.3,0.9,0.7,27.1,42.7,37.1,43.3,43.3,35.7,38.2,15.7,15.1,21.3,24.5,39.2,19.9,21.7,23.6,23,24.4,26.6,23.1,31,30,30.7,10.3,18.9,13.2,11.6,8.1,8.3,6.6,5.6,5.2,6.3,14.7,24.1,39.4,15.4,3,FALSE
