,var,rel.inf,,,
ZAGG_IRCOMICS,ZAGG_IRCOMICS,0.006034851,,,
ZAGG_AHBP,ZAGG_AHBP,0.006025014,,,
BINARY_MUSC_RAWSCR,BINARY_MUSC_RAWSCR,0.006010883,,,
IHSCRAP,IHSCRAP,0.006009796,,,
ZAGG_PBACKPN,ZAGG_PBACKPN,0.005845763,,,
AGVSN,AGVSN,0.005836853,,,
SEV_AC_TRANS,SEV_AC_TRANS,0.005834985,,,
ZAGG_PASTHMA,ZAGG_PASTHMA,0.005711897,,,
ZAGG_IHNETWRK,ZAGG_IHNETWRK,0.00554824,,,
ZAGG_MEDSUP_6,ZAGG_MEDSUP_6,0.00551138,,,
BINARY_DIAB_RAWSCR,BINARY_DIAB_RAWSCR,0.00549107,,,
BINARY_NT_RAWSCR,BINARY_NT_RAWSCR,0.005480546,,,
ZAGG_OANOGEN,ZAGG_OANOGEN,0.005439936,,,
INQUIRY_AUTO,INQUIRY_AUTO,0.005383618,,,
IOVIDGAM,IOVIDGAM,0.005285918,,,
NUM_STUDENTLOAN,NUM_STUDENTLOAN,0.005276266,,,
HH_TOTALALLCREDIT_90TO119DPD,HH_TOTALALLCREDIT_90TO119DPD,0.005219726,,,
ZAGG_IMBBND,ZAGG_IMBBND,0.005215991,,,
ZAGG_MEDSUP_8,ZAGG_MEDSUP_8,0.005149361,,,
ZAGG_NETW30_1000,ZAGG_NETW30_1000,0.00512593,,,
NUM_NONMTGCREDIT_60DPD,NUM_NONMTGCREDIT_60DPD,0.005120718,,,
ZAGG_CSR,ZAGG_CSR,0.005072079,,,
ZAGG_ZINCDEC_1,ZAGG_ZINCDEC_1,0.005009544,,,
ZAGG_ILOR_1014,ZAGG_ILOR_1014,0.005000714,,,
ICSP,ICSP,0.004954323,,,
BAL_HOMEEQUITYLOANS_NEW,BAL_HOMEEQUITYLOANS_NEW,0.004939935,,,
HH_MTGCREDIT,HH_MTGCREDIT,0.004939694,,,
ZAGG_PSIR,ZAGG_PSIR,0.004907423,,,
ZAGG_AFTC,ZAGG_AFTC,0.004901701,,,
ESTINC30,ESTINC30,0.004777664,,,
ZAGG_MORI,ZAGG_MORI,0.004769767,,,
BINARY_PREG_RAWSCR,BINARY_PREG_RAWSCR,0.004757538,,,
ZAGG_IRBI,ZAGG_IRBI,0.00470477,,,
ZAGG_PMENOPS,ZAGG_PMENOPS,0.004703926,,,
